"","id1","persons","v98_1","v98_2","persngrp","mailings","phongotv","ward","majpty1","majpty2","age1","age2","placebo","vote98","v98","cntany","pcntany","v96_1","v96_0","age","agemiss","agesq","majorpty","onetreat","onetreat_p"
"20002",2242,1,1,1,0,2,1,5,1,1,45,45,0,1,1,0,0,1,0,45,0,2025,1,0,0
"20003",18232,1,0,0,0,0,0,19,1,1,41,41,0,0,0,0,0,0,1,41,0,1681,1,1,1
"20004",10612,1,1,1,0,0,0,17,1,1,72,72,0,1,1,0,0,1,0,72,0,5184,1,1,1
"20005",14408,1,0,0,0,0,0,26,1,1,39,39,0,0,0,0,0,1,0,39,0,1521,1,1,1
"20006",16915,2,1,0,0,0,0,13,1,1,68,61,0,1,1,0,0,1,0,68,0,4624,1,1,1
"20007",2162,1,1,1,0,0,0,10,1,1,80,80,0,1,1,0,0,0,1,80,0,6400,1,1,1
"20008",972,2,0,0,0,0,0,28,1,1,48,52,0,0,0,0,0,1,0,48,0,2304,1,1,1
"20009",8678,1,0,0,0,0,0,26,0,0,53,53,0,0,0,0,0,1,0,53,0,2809,0,1,1
"20010",108,2,1,1,0,0,0,25,1,1,49,41,0,1,1,0,0,1,0,49,0,2401,1,1,1
"20011",14949,1,0,0,0,1,1,17,0,0,51,51,0,0,0,0,0,0,1,51,0,2601,0,0,0
"20012",18188,1,1,1,0,0,0,19,1,1,66,66,1,1,1,0,0,1,0,66,0,4356,1,0,1
"20013",9509,1,0,0,0,3,0,12,1,1,61,61,0,0,0,0,0,0,1,61,0,3721,1,1,1
"20014",17563,1,0,0,0,2,0,30,1,1,37,37,0,0,0,0,0,0,0,37,0,1369,1,1,1
"20015",14262,1,1,1,0,0,0,18,1,1,76,76,0,1,1,0,0,1,0,76,0,5776,1,1,1
"20016",16736,1,0,0,0,3,0,19,1,1,49,49,0,0,0,0,0,1,0,49,0,2401,1,1,1
"20017",9660,1,1,1,0,1,0,23,0,0,29,29,0,1,1,0,0,0,0,29,0,841,0,1,1
"20018",805,2,1,1,0,2,1,20,1,1,32,69,0,1,1,0,0,1,0,32,0,1024,1,0,0
"20019",20969,1,0,0,0,0,0,4,1,1,39,39,0,0,0,0,0,0,1,39,0,1521,1,1,1
"20020",8424,1,0,0,0,1,0,15,1,1,61,61,0,0,0,0,0,0,0,61,0,3721,1,1,1
"20021",13826,2,0,1,0,3,0,24,1,1,46,50,0,0,0,0,0,0,0,46,0,2116,1,1,1
"20022",10969,1,0,0,0,0,0,9,1,1,36,36,0,0,0,0,0,0,1,36,0,1296,1,1,1
"20023",21423,1,1,1,0,0,0,4,1,1,37,37,0,1,1,0,0,0,0,37,0,1369,1,1,1
"20024",13380,1,0,0,0,2,0,15,0,0,40,40,0,0,0,0,0,1,0,40,0,1600,0,1,1
"20025",11053,1,0,0,0,0,0,14,1,1,54,54,0,0,0,0,0,0,0,54,0,2916,1,1,1
